startIp,endIp,ipVersion,datacenter,domain
2a01:07a7:0002:3c18:0000:0000:0000:0000,2a01:07a7:0002:3c18:ffff:ffff:ffff:ffff,6,"RackNerd, LLC",racknerd.com
2a04:5200:0ff2:0000:0000:0000:0000:0000,2a04:5200:0ff2:ffff:ffff:ffff:ffff:ffff,6,FIRST SERVER LIMITED,firstbyte.pro
2602:f45d:0000:0000:0000:0000:0000:0000,2602:f45d:00ff:ffff:ffff:ffff:ffff:ffff,6,Rapid Hacks LLC,rapidhacks.cloud
2a05:ac40:0000:0000:0000:0000:0000:0000,2a05:ac47:ffff:ffff:ffff:ffff:ffff:ffff,6,stepping stone AG,stepping-stone.ch
2001:0550:0002:0078:0000:0000:03b3:0196,2001:0550:0002:0078:0000:0000:03b3:0197,6,VPLS,vpls.com
2a02:28f0:0000:0001:0000:0000:0000:0000,2a02:28f0:0000:0001:ffff:ffff:ffff:ffff,6,ODERLAND Webbhotell AB,oderland.se
2a13:2b41:0000:0000:0000:0000:0000:0000,2a13:2b41:ffff:ffff:ffff:ffff:ffff:ffff,6,RapidSeedbox Ltd,rapidseedbox.com
2a01:a500:1126:0000:0000:0000:0000:0000,2a01:a500:1126:ffff:ffff:ffff:ffff:ffff,6,UK Dedicated Servers Ltd,ukservers.com
2001:4b88:1032:0000:0000:0000:0000:0000,2001:4b88:1032:ffff:ffff:ffff:ffff:ffff,6,Titan Networks,titan-networks.de
2a00:12d8:0000:0000:0000:0000:0000:0000,2a00:12d8:3fff:ffff:ffff:ffff:ffff:ffff,6,GHOSTnet GmbH,ghostnet.de
2a0f:7b83:0000:0000:0000:0000:0000:0000,2a0f:7b83:ffff:ffff:ffff:ffff:ffff:ffff,6,POWER-SERVERS-ROLE-ORG,power-servers.net
2804:8f30:0000:0000:0000:0000:0000:0000,2804:8f30:ffff:ffff:ffff:ffff:ffff:ffff,6,TODA SOLUCAO WEB,todasolucao.com.br
2a0d:5600:0012:0000:0000:0000:0000:0000,2a0d:5600:0012:ffff:ffff:ffff:ffff:ffff,6,M247 LTD Bratislava Infrastructure,m247.com
2406:0840:e230:0000:0000:0000:0000:0000,2406:0840:e23f:ffff:ffff:ffff:ffff:ffff,6,Xiang Xuanchen,deepautumn.top
2a07:9400:0000:5000:0000:0000:0000:0000,2a07:9400:0000:5fff:ffff:ffff:ffff:ffff,6,GCI mbH,cloer.de
2a02:20ab:8010:00ad:0000:0000:0000:0000,2a02:20ab:8010:00ad:ffff:ffff:ffff:ffff,6,Equinix (Netherlands) B.V.,equinix.com
2a03:c7c0:002d:00b6:0000:0000:0000:0000,2a03:c7c0:002d:00b6:ffff:ffff:ffff:ffff,6,GINERNET,ginernet.com
2a0f:6580:0108:0000:0000:0000:0000:0000,2a0f:6580:0108:ffff:ffff:ffff:ffff:ffff,6,EKIPHOST BILISIM TEKNOLOJILERI TICARET VE SANAYI LIMITED SIRKETI,ekiphost.com
2001:09a8:01c3:0000:0000:0000:0000:0000,2001:09a8:01c3:ffff:ffff:ffff:ffff:ffff,6,TrueFullstaq B.V.,truefullstaq.com
2001:41d0:0c00:2900:0000:0000:0000:0000,2001:41d0:0c00:29ff:ffff:ffff:ffff:ffff,6,OVH SAS,ovhcloud.com
2400:8500:1301:0828:0000:0000:0000:0000,2400:8500:1301:0828:ffff:ffff:ffff:ffff,6,"GMO Internet, Inc.",gmo.jp
2a09:4d41:0000:0000:0000:0000:0000:0000,2a09:4d41:ffff:ffff:ffff:ffff:ffff:ffff,6,IPCSERVER LP,ipserver.su
2a05:91c0:0390:0000:0000:0000:0000:0000,2a05:91c0:0390:ffff:ffff:ffff:ffff:ffff,6,Chroot Network SRL,chroot.ro
2607:a8c0:0000:0000:0000:0000:0000:0000,2607:a8c0:ffff:ffff:ffff:ffff:ffff:ffff,6,Nucleus,nucleus.be
2001:0550:0002:0078:0000:0000:03a3:0000,2001:0550:0002:0078:0000:0000:03a3:ffff,6,"Nodes Direct Holdings, LLC",nodesdirect.com
2a0e:cb80:0009:0000:0000:0000:0000:0000,2a0e:cb80:0009:ffff:ffff:ffff:ffff:ffff,6,nexserv GmbH Ripe Coordination,nexserv.de
2a05:91c0:3953:0000:0000:0000:0000:0000,2a05:91c0:3953:ffff:ffff:ffff:ffff:ffff,6,Chroot Network SRL,chroot.ro
2001:0df3:aa40:0000:0000:0000:0000:0000,2001:0df3:aa40:ffff:ffff:ffff:ffff:ffff,6,Hasan Host,hasanhost.com.bd
2a01:04f8:0d0a:2024:0000:0000:0000:0000,2a01:04f8:0d0a:2024:ffff:ffff:ffff:ffff,6,Hetzner (Pty) Ltd,hetzner.com
2a01:07c8:d009:0000:0000:0000:0000:0000,2a01:07c8:d009:ffff:ffff:ffff:ffff:ffff,6,TransIP BV,transip.nl
2a05:91c0:3961:0000:0000:0000:0000:0000,2a05:91c0:3961:ffff:ffff:ffff:ffff:ffff,6,Chroot Network SRL,chroot.ro
2a01:04f8:0251:f300:0000:0000:0000:0000,2a01:04f8:0251:f3ff:ffff:ffff:ffff:ffff,6,Hetzner Online GmbH,hetzner.com
2a01:04f8:011f:1100:0000:0000:0000:0000,2a01:04f8:011f:11ff:ffff:ffff:ffff:ffff,6,Hetzner Online GmbH,hetzner.com
2a0c:d380:0000:0000:0000:0000:0000:0000,2a0c:d383:ffff:ffff:ffff:ffff:ffff:ffff,6,RapidSeedbox Ltd,rapidseedbox.com
2a01:04f8:00ba:0300:0000:0000:0000:0000,2a01:04f8:00ba:03ff:ffff:ffff:ffff:ffff,6,Hetzner Online GmbH,hetzner.com
2001:0550:0002:002f:0000:0000:0150:0000,2001:0550:0002:002f:0000:0000:0150:ffff,6,Oracle America Inc,oracle.com
2a03:c7c0:002d:011a:0000:0000:0000:0000,2a03:c7c0:002d:011a:ffff:ffff:ffff:ffff,6,GINERNET,ginernet.com
2001:41d0:0301:0000:0000:0000:0000:0000,2001:41d0:0301:0000:ffff:ffff:ffff:ffff,6,OVH SAS,ovhcloud.com
2a01:01c8:00a1:0000:0000:0000:0000:0000,2a01:01c8:00a1:ffff:ffff:ffff:ffff:ffff,6,ADAM DATACENTER - LIR ADMIN,adam.es
2a0b:f380:000a:0000:0000:0000:0000:0000,2a0b:f380:000a:ffff:ffff:ffff:ffff:ffff,6,Marco Tiggelaar trading as Key4ce,key4ce.com
2a01:04f8:0222:2a07:0000:0000:0000:0000,2a01:04f8:0222:2a07:ffff:ffff:ffff:ffff,6,HOSTED DATACENTRE INC,velia.net
2001:0978:0002:0007:0000:0000:013f:0000,2001:0978:0002:0007:0000:0000:013f:ffff,6,Edge Network Services Ltd,null
2a09:30c0:0000:0000:0000:0000:0000:0000,2a09:30c7:ffff:ffff:ffff:ffff:ffff:ffff,6,Legaco Networks B.V.,legaconetworks.nl
2a09:2942:0000:0000:0000:0000:0000:0000,2a09:2942:ffff:ffff:ffff:ffff:ffff:ffff,6,ungleich GmbH,ungleich.ch
2a02:2528:0000:0000:0000:0000:0000:0000,2a02:252f:ffff:ffff:ffff:ffff:ffff:ffff,6,IP-Max SA,ip-max.net
2a00:11c0:0030:0007:0000:0000:0000:0000,2a00:11c0:0030:0007:ffff:ffff:ffff:ffff,6,powered by ANX,anexia.at
2a12:bec0:0651:0000:0000:0000:0000:0000,2a12:bec0:0651:ffff:ffff:ffff:ffff:ffff,6,Luc Haaijer trading as Ferox Hosting,telia.is
2a12:dd80:0000:0000:0000:0000:0000:0000,2a12:dd87:ffff:ffff:ffff:ffff:ffff:ffff,6,Beyond Tomorrow Ltd,btmrw.com
2400:ef40:0000:0000:0000:0000:0000:0000,2400:ef40:ffff:ffff:ffff:ffff:ffff:ffff,6,TopIaas Inc.,cloudvsp.com
2a03:c7c0:002d:0562:0000:0000:0000:0000,2a03:c7c0:002d:0562:ffff:ffff:ffff:ffff,6,GINERNET,ginernet.com
2402:5b40:0000:0000:0000:0000:0000:0000,2402:5b40:ffff:ffff:ffff:ffff:ffff:ffff,6,"Zhengzhou NiPaiYi network of science and Technology Co., Ltd.",lcloudhost.com
2a03:c7c0:002d:033a:0000:0000:0000:0000,2a03:c7c0:002d:033a:ffff:ffff:ffff:ffff,6,GINERNET,ginernet.com
2602:fd35:0000:0000:0000:0000:0000:0000,2602:fd35:0fff:ffff:ffff:ffff:ffff:ffff,6,"Markley Network Services, LLC",markleygroup.com
2a01:04f8:0251:14e8:0000:0000:0000:0000,2a01:04f8:0251:14e8:ffff:ffff:ffff:ffff,6,SHELLRENT SRL,shellrent.com
2001:41d0:026b:0000:0000:0000:0000:0000,2001:41d0:026b:ffff:ffff:ffff:ffff:ffff,6,OVH SAS,ovhcloud.com
2a11:4146:5202:0000:0000:0000:0000:0000,2a11:4146:5202:ffff:ffff:ffff:ffff:ffff,6,Inter.link GmbH,inter.link
2a0e:97c0:4b0a:0000:0000:0000:0000:0000,2a0e:97c0:4b0a:ffff:ffff:ffff:ffff:ffff,6,4b42 UG,4b42.com
2a0d:5600:0019:0000:0000:0000:0000:0000,2a0d:5600:0019:ffff:ffff:ffff:ffff:ffff,6,M247 Ltd Quebec,m247.com
2a01:04f8:0161:8385:0000:0000:0000:0000,2a01:04f8:0161:8385:ffff:ffff:ffff:ffff,6,SHELLRENT SRL,shellrent.com
2400:8500:2002:1324:0000:0000:0000:0000,2400:8500:2002:1324:ffff:ffff:ffff:ffff,6,"GMO Internet, Inc.",gmo.jp
2a00:6d47:0010:1900:0000:0000:0000:0000,2a00:6d47:0010:19ff:ffff:ffff:ffff:ffff,6,Aruba S.p.A. - Cloud Services PL1,aruba.it
2a13:5681:0000:0000:0000:0000:0000:0000,2a13:5681:0000:ffff:ffff:ffff:ffff:ffff,6,Witalij Koweschnikow,rejecty.com
2a01:04f8:0262:42a6:0000:0000:0000:0000,2a01:04f8:0262:42a6:ffff:ffff:ffff:ffff,6,internex GmbH,internex.at
2a10:0140:0002:0000:0000:0000:0000:0000,2a10:0140:0002:ffff:ffff:ffff:ffff:ffff,6,luckycloud GmbH,luckycloud.de
2a05:91c0:1389:0000:0000:0000:0000:0000,2a05:91c0:1389:ffff:ffff:ffff:ffff:ffff,6,Chroot Network SRL,chroot.ro
