ipVersion,startIp,endIp,datacenter,domain
4,103.190.137.0,103.190.137.255,Maruf Online BD,marufonlinebd.net
4,156.38.243.64,156.38.243.79,xneelo-tscolo,xneelo.co.za
4,86.65.32.80,86.65.32.87,Internet Services,isi.ch
4,5.133.8.56,5.133.8.63,Surfshark ltd,surfshark.com
4,143.244.62.0,143.244.63.255,DataCamp Limited,www.datacamp.co.uk
4,195.114.108.0,195.114.111.255,Hyve Ltd,www.hyve.com
4,77.90.40.0,77.90.40.255,GHOSTnet GmbH,www.ghostnet.de
4,85.133.54.0,85.133.54.255,ServerSpace Ltd.,rackspace.com
4,81.89.196.168,81.89.196.175,hosted by Heidelberg-iT GmbH,hd-it.eu
4,94.198.245.0,94.198.245.255,Fixed Lines V4 Customers,yeshost.cz
4,94.46.250.160,94.46.250.160,MissDomain Group AB,missdomain.com
4,164.39.65.192,164.39.65.199,M247 UK Ltd,m247.com
4,46.20.126.0,46.20.126.255,Aptum Technologies (UK) Limited,aptum.com
4,83.174.148.0,83.174.148.255,CONNECTICORE TELECOMMUNICATIONS INFORMATION TECHNOLOGY S.A,connecticore.com
4,114.141.200.0,114.141.203.255,Servers Australia Pty. Ltd,www.serversaustralia.com.au
4,136.243.157.104,136.243.157.111,Hetzner Online GmbH,www.hetzner.com
4,88.84.87.40,88.84.87.43,Equinix (Netherlands) Enterprises BV,www.equinix.com
4,78.47.100.184,78.47.100.191,Hetzner Online GmbH,www.hetzner.com
4,176.67.91.72,176.67.91.75,SAS INTERCLOUD,intercloud.com
4,188.114.251.39,188.114.251.39,MissDomain Group AB,missdomain.com
4,45.200.160.0,45.200.160.255,Cloud Innovation Ltd,cloudinnovation.org
4,219.94.161.0,219.94.161.255,SAKURA Internet Inc.,www.sakura.ad.jp
4,148.251.114.48,148.251.114.55,Hetzner Online GmbH,www.hetzner.com
4,149.233.5.240,149.233.5.243,Jahn Conserv GmbH,jahn-cs.de
4,138.36.92.0,138.36.95.255,HOSTINGFOREX S.A.,hostingforexsa.com
4,51.179.128.234,51.179.128.234,M247 UK Ltd,m247.com
4,85.195.86.48,85.195.86.49,velia.net Internetdienste GmbH,www.velia.net
4,95.131.137.96,95.131.137.111,CLARANET OXALIDE SAS,www.claranet.com
4,164.39.68.208,164.39.68.215,M247 UK Ltd,m247.com
4,37.59.173.224,37.59.173.255,OVH SAS,proof.ovh.net
4,153.126.241.0,153.126.241.255,SAKURA Internet Inc.,www.sakura.ad.jp
